stadium,parking_name,adress,note
포항,포항시 남구청 주차장,경북 포항시 남구 대도동 381-7,무료
포항,포항 종합운동장 주차장,경북 포항시 남구 희망대로 810,무료
울산,문수월드컵경기장 주차장,울산광역시 남구 옥동 1225,"평일 무료, 30분 500원, 일주차요금 10000원"
울산,문수실내수영장 주차장,울산광역시 남구 문수로 44,
수원,kt 위즈파크 주차장,경기 수원시 장안구 경수대로 893,"1시간 1500원, 일주차요금 7000원, 경기 예약차량 선불 5000원, kt 위즈 홈경기 2시간전부터 예약제"
수원,만석공원 제4 공영주차장,경기 수원시 장안구 송죽동 346-6,"3시간 1000원, 일주차요금 5000원"
수원,영화동 공영주차장,경기 수원시 장안구 영화동 230-3,"1시간 1000원, 일주차요금 4000원"
대구,삼성 라이온즈파크 전설로 주차장,대구 수성구 연호동 648,"1시간 2000원, 일주차요금 2000원"
대구,대구테크노파크 주변 유료주차장,대구 수성구 대흥동 846-1,"1시간 1800원, 일주차요금 5000원"
대구,대구 스포츠산업지원센터,대구 수성구 알파시티1로 184,일주차요금 5000원
사직,부산사직종합운동장 주차장,부산 동래구 사직로 45,"1시간 소형 1200원, 중형 2400원, 대형 3600원, 일주차요금 5000원"
사직,홈플러스 아시아드점 주차장,부산 연제구 거제동 1208,"1시간 1200원, 일주차 5000원"
사직,부산광역시의료원 2주차장,부산 연제구 월드컵대로 359,"1시간 1800원, 일주차 요금 10000원"
사직,부산법원종합청사 주차장,부산 연제구 법원로 31,주말 공휴일 무료개방
고척,고척 스카이돔 1지하주차장,서울 구로구 경인로 430,1시간 1800원
고척,고척 산업용품 종합상가 주차장,서울 구로구 경인로 43길 42,1시간 2000원
고척,구로 기계공구상가단지 주차장,,1시간 2000원
대전(신),한화생명볼파크 주차장,대전 중구 대종로 373번지,"주말 및 공휴일만, 경기 시작 1시간 전부터 경기 종료 30분 후까지 개방"
대전(신),대사동 제2 노상 공영주차장,대전 중구 보문로 125번길 13,주차비 무료
대전(신),대상동 제3 노상공영주차장,대전 중구 대사동 95-16,주차비 무료
대전(신),대전 문창 초등학교,대전 중구 부사동,"주차비 무료, 경기 있는 날만 개방"
대전(신),대사동 4 노상주차장,대전 중구 대사동 77-39,주차비 무료
창원,양덕 공영주차장,경남 창원시 마산회원구 삼호로 82,경기 종료 후 1시간까지 무료
창원,창원 nc파크 & 마산야구센터,경남 창원시 마산회원구 삼호로 63,경기 종료 후 1시간까지 무료
창원,산호동 상점가 공영주차장,경남 창원시 마산합포구 산호북15길 45,"30분 500원, 10분당 200원, 일주차요금 6000원"
창원,어린교공영유로주차장,경남 창원시 마산합포구 산호동2,"30분 500원, 10분당 200원, 일주차요금 6000원"
문학,문학경기장 주차장,인천 미추홀구 매소홀로 618,2000원
문학,문학동 제3 공영주차장,인천 미추홀구 문학동 392-2,"30분 400원, 일주차요금 4000원"
문학,문학동 제4 공영주차장,인천 미추홀구 문학동 383-4,"30분 400원, 일주차요금 4000원"
잠실,잠실 야구장 주차장,서울 송파구 올림픽로 19-2,주차비 5000원
잠실,탄천 공영 주차장,서울 강남구 대치동 78-25,"소형 100원, 중형 200원, 대형 300원 5분당"
잠실,노상 공영 주차장,서울 강남구 영동대로 96길,"5분당 300원, 평일 7시 이후 무료"
광주,"야외주차장, 지하주차장",광주 북구 임동 316,무료
광주,무등야구주차장,광주 북구 운암동 503,챔피언스필드 만차 시 무료
광주,임동 공영주차장,광주광역시 북구 임동 104-76,경기 있는 날 무료
